"catalogsysid","languagename","catalogname","catalogval","recordstatus"
1,"English","frontpage","Front Page",1
2,"English","homeadmin","Home Admin",1
3,"English","system","System",1
4,"English","citizen","Citizen",1
5,"English","country","Country",1
6,"English","currency","Currency",1
7,"English","company","Company",1
8,"English","objectauth","Object Authentication",1
9,"English","useraccess","User Access",1
10,"English","province","Province",1
11,"English","city","City",1
12,"English","emptycountrycode","Country Code must be filled",1
13,"English","emptycountryname","Country must be filled",1
14,"English","emptyprovincename","Province must be filled",1
15,"English","emptycityname","City must be filled",1
16,"English","subdistrict","Sub District",1
17,"English","emptysubdistrict","Sub District must be filled",1
18,"English","emptyzipcode","Zip Code must be filled",1
19,"English","kelurahan","Sub Subdistrict",1
20,"English","emptysubsubdistrict","Sub Subdistrict must be filled",1
21,"English","emptycurrency","Currency must be filled",1
22,"English","emptysymbol","Symbol must be filled",1
23,"English","emptyi18n","i18n must be filled",1
24,"English","emptycompanyname","Company msut be filled",1
25,"English","emptyaddressname","Address must be filled",1
26,"English","menuaccess","Menu Access",1
27,"English","menuauth","Menu Object Authentication",1
28,"English","emptymenucode","Menu Code must be filled",1
29,"English","emptymenuname","Menu Name must be filled",1
30,"English","emptymenuurl","Menu Url must be filled",1
31,"English","emptymenuobject","Menu Object must be filled",1
32,"English","emptygroupname","Group Name must be filled",1
33,"English","groupaccess","Group Access",1
34,"English","groupmenu","Group Menu",1
35,"English","emptymenuauth","Menu Authentication",1
36,"English","groupmenuauth","Group Menu Authentication",1
37,"English","workflow","Workflow",1
38,"English","emptywfname","Workflow must be filled",1
39,"English","emptywfdesc","Workflow Description must be filled",1
40,"English","emptywfminstat","Minimum Status must be filled",1
41,"English","emptywfmaxstat","Maximum Status must be filled",1
42,"English","emptywfbefstat","Before Status must be filled",1
43,"English","emptywfrecstat","After Status must be filled",1
44,"English","wfgroup","Workflow Group",1
45,"English","emptywfstatusname","Workflow Status must be filled",1
46,"English","wfstatus","Workflow Status",1
47,"English","translog","Transaction Log",1
48,"English","translock","Transaction Lock",1
49,"English","snro","Specific Number Range Object",1
50,"English","snrodet","Detail of SNRO",1
51,"English","emptydescription","Description must be filled",1
52,"English","emptysnro","SNRO must be filled",1
53,"English","emptyformatdoc","Format Doc must be filled",1
54,"English","emptyformatno","Format No must be filled",1
55,"English","emptyparamname","Parameter Name must be filled",1
56,"English","emptyparamvalue","Parameter Value must be filled",1
57,"English","parameter","Parameter",1
