cityid,provincename,cityname,recordstatus
1,BALI,BADUNG,1
2,BALI,BANGLI,1
3,BALI,BULELENG,1
4,BALI,DENPASAR,1
5,BALI,GIANYAR,1
6,BALI,JEMBRANA,1
7,BALI,KARANG ASEM,1
8,BALI,SEMARAPURA,1
9,BALI,TABANAN,1
10,BANTEN,CILEGON,1
11,BANTEN,KABUPATEN TANGERANG,1
12,BANTEN,LEBAK,1
13,BANTEN,PANDEGLANG,1
14,BANTEN,SERANG,1
15,BANTEN,TANGERANG,1
16,BENGKULU,BENGKULU SELATAN,1
17,BENGKULU,BENGKULU UTARA,1
18,BENGKULU,KAUR,1
19,BENGKULU,KODYA BENGKULU,1
20,BENGKULU,REJANG LEBONG,1
21,BENGKULU,SELUMA,1
22,D I YOGYAKARTA,BANTUL,1
23,D I YOGYAKARTA,GUNUNGKIDUL,1
24,D I YOGYAKARTA,KULONPROGO,1
25,D I YOGYAKARTA,SLEMAN,1
26,D I YOGYAKARTA,YOGYAKARTA,1
27,DKI JAKARTA,JAKARTA BARAT,1
28,DKI JAKARTA,JAKARTA PUSAT,1
29,DKI JAKARTA,JAKARTA SELATAN,1
30,DKI JAKARTA,JAKARTA TIMUR,1
31,DKI JAKARTA,JAKARTA UTARA,1
32,JAMBI,BATANGHARI,1
33,JAMBI,BUNGO,1
34,JAMBI,JAMBI,1
35,JAMBI,KERINCI,1
36,JAMBI,MERANGIN,1
37,JAMBI,MUARO JAMBI,1
38,JAMBI,SAROLANGUN,1
39,JAMBI,TANJAB BARAT,1
40,JAMBI,TANJAB TIMUR,1
41,JAMBI,TEBO,1
42,JAWA BARAT,BANDUNG,1
43,JAWA BARAT,BEKASI,1
44,JAWA BARAT,BOGOR,1
45,JAWA BARAT,CIANJUR,1
46,JAWA BARAT,CIMAHI,1
47,JAWA BARAT,CIREBON,1
48,JAWA BARAT,DEPOK,1
49,JAWA BARAT,GARUT,1
50,JAWA BARAT,INDRAMAYU,1
51,JAWA BARAT,JAWA BARAT,1
52,JAWA BARAT,KAB. SUKABUMI,1
53,JAWA BARAT,KABUPATEN CIAMIS,1
54,JAWA BARAT,KARAWANG,1
55,JAWA BARAT,KOTA BANJAR,1
56,JAWA BARAT,KOTA MADYA CIREBON,1
57,JAWA BARAT,KOTA SUKABUMI,1
58,JAWA BARAT,KOTAMADYA BEKASI,1
59,JAWA BARAT,KOTATASIKMALAYA,1
60,JAWA BARAT,KUNINGAN,1
61,JAWA BARAT,MAJALENGKA,1
62,JAWA BARAT,PURWAKARTA,1
63,JAWA BARAT,SUBANG,1
64,JAWA BARAT,SUMEDANG,1
65,JAWA BARAT,TASIKMALAYA,1
66,JAWA TENGAH,BANJARNEGARA,1
67,JAWA TENGAH,BANYUMAS,1
68,JAWA TENGAH,BATANG,1
69,JAWA TENGAH,BLORA,1
70,JAWA TENGAH,BOYOLALI,1
71,JAWA TENGAH,CILACAP,1
72,JAWA TENGAH,DEMAK,1
73,JAWA TENGAH,GROBOGAN,1
74,JAWA TENGAH,JEPARA,1
75,JAWA TENGAH,KAB. BREBES,1
76,JAWA TENGAH,KAB. PEKALONGAN,1
77,JAWA TENGAH,KAB. SEMARANG,1
78,JAWA TENGAH,KAB. TEGAL,1
79,JAWA TENGAH,KARANGANYAR,1
80,JAWA TENGAH,KEBUMEN,1
81,JAWA TENGAH,KENDAL,1
82,JAWA TENGAH,KLATEN,1
83,JAWA TENGAH,KODYA PEKALONGAN,1
84,JAWA TENGAH,KODYA SEMARANG,1
85,JAWA TENGAH,KOTA TEGAL,1
86,JAWA TENGAH,KOTAMADYA MAGELANG,1
87,JAWA TENGAH,KUDUS,1
88,JAWA TENGAH,MAGELANG,1
89,JAWA TENGAH,PATI,1
90,JAWA TENGAH,PEMALANG,1
91,JAWA TENGAH,PURBALINGGA,1
92,JAWA TENGAH,PURWOKERTO,1
93,JAWA TENGAH,PURWOREJO,1
94,JAWA TENGAH,REMBANG,1
95,JAWA TENGAH,SALATIGA,1
96,JAWA TENGAH,SRAGEN,1
97,JAWA TENGAH,SUKOHARJO,1
98,JAWA TENGAH,SURAKARTA,1
99,JAWA TENGAH,TEMANGGUNG,1
100,JAWA TENGAH,WONOGIRI,1
101,JAWA TENGAH,WONOSOBO,1
102,JAWA TIMUR,BANGKALAN,1
103,JAWA TIMUR,BANYUWANGI,1
104,JAWA TIMUR,BLITAR,1
105,JAWA TIMUR,BOJONEGORO,1
106,JAWA TIMUR,BONDOWOSO,1
107,JAWA TIMUR,GRESIK,1
108,JAWA TIMUR,JEMBER,1
109,JAWA TIMUR,JOMBANG,1
110,JAWA TIMUR,KAB. KEDIRI,1
111,JAWA TIMUR,KAB.MOJOKERTO,1
112,JAWA TIMUR,KAB.NGANJUK,1
113,JAWA TIMUR,KABUPATEN MALANG,1
114,JAWA TIMUR,KODYA MOJOKERTO,1
115,JAWA TIMUR,KODYA PASURUAN,1
116,JAWA TIMUR,KOTA BATU,1
117,JAWA TIMUR,KOTA BLITAR,1
118,JAWA TIMUR,KOTA KEDIRI,1
119,JAWA TIMUR,KOTA PROBOLINGGO,1
120,JAWA TIMUR,KOTAMADYA MALANG,1
121,JAWA TIMUR,LAMONGAN,1
122,JAWA TIMUR,LUMAJANG,1
123,JAWA TIMUR,MADIUN,1
124,JAWA TIMUR,MAGETAN,1
125,JAWA TIMUR,NGAWI,1
126,JAWA TIMUR,PACITAN,1
127,JAWA TIMUR,PAMEKASAN,1
128,JAWA TIMUR,PASURUAN,1
129,JAWA TIMUR,PONOROGO,1
130,JAWA TIMUR,PROBOLINGGO,1
131,JAWA TIMUR,SAMPANG,1
132,JAWA TIMUR,SIDOARJO,1
133,JAWA TIMUR,SITUBONDO,1
134,JAWA TIMUR,SUMENEP,1
135,JAWA TIMUR,SURABAYA,1
136,JAWA TIMUR,TRENGGALEK,1
137,JAWA TIMUR,TUBAN,1
138,JAWA TIMUR,TULUNGAGUNG,1
139,KALIMANTAN BARAT,BENGKAYANG,1
140,KALIMANTAN BARAT,KAPUAS HULU,1
141,KALIMANTAN BARAT,KETAPANG,1
142,KALIMANTAN BARAT,KOTA PONTIANAK,1
143,KALIMANTAN BARAT,KOTA SINGKAWANG,1
144,KALIMANTAN BARAT,LANDAK,1
145,KALIMANTAN BARAT,PONTIANAK,1
146,KALIMANTAN BARAT,SAMBAS,1
147,KALIMANTAN BARAT,SANGGAU,1
148,KALIMANTAN BARAT,SINTANG,1
149,KALIMANTAN SELATAN,BALANGAN                 ,1
150,KALIMANTAN SELATAN,BANJAR                   ,1
151,KALIMANTAN SELATAN,BANJARBARU               ,1
152,KALIMANTAN SELATAN,BANJARMASIN,1
153,KALIMANTAN SELATAN,BARITO KUALA,1
154,KALIMANTAN SELATAN,HULU SUNGAI SELATAN      ,1
155,KALIMANTAN SELATAN,HULU SUNGAI TENGAH       ,1
156,KALIMANTAN SELATAN,HULU SUNGAI UTARA        ,1
157,KALIMANTAN SELATAN,KOTA BARU                ,1
158,KALIMANTAN SELATAN,TABALONG                 ,1
159,KALIMANTAN SELATAN,TANAH BUMBU              ,1
160,KALIMANTAN SELATAN,TANAH LAUT,1
161,KALIMANTAN SELATAN,TAPIN                    ,1
162,KALIMANTAN TENGAH,BARITO SELATAN,1
163,KALIMANTAN TENGAH,BARITO TIMUR,1
164,KALIMANTAN TENGAH,BARITO UTARA,1
165,KALIMANTAN TENGAH,GUNUNG MAS,1
166,KALIMANTAN TENGAH,KAPUAS,1
167,KALIMANTAN TENGAH,KOTA WARINGIN BARAT,1
168,KALIMANTAN TENGAH,KOTA WARINGIN TIMUR,1
169,KALIMANTAN TENGAH,LAMANDAU,1
170,KALIMANTAN TENGAH,MURUNG RAYA,1
171,KALIMANTAN TENGAH,PALANGKA RAYA,1
172,KALIMANTAN TENGAH,PULANG PISAU,1
173,KALIMANTAN TENGAH,SUKAMARA,1
174,KALIMANTAN TIMUR,BALIKPAPAN,1
175,KALIMANTAN TIMUR,BERAU,1
176,KALIMANTAN TIMUR,BONTANG,1
177,KALIMANTAN TIMUR,BULUNGAN,1
