groupmenuid,groupname,menuname,isread,iswrite,ispost,isreject,isupload,isdownload
1,administrator,system,1,1,1,1,1,1
2,administrator,company,1,1,1,1,1,1
3,administrator,objectauth,1,1,1,1,1,1
4,administrator,frontpage,1,1,1,1,1,1
5,administrator,homeadmin,1,1,1,1,1,1
6,administrator,useraccess,1,1,1,1,1,1
7,administrator,menuaccess,1,1,1,1,1,1
8,administrator,menuauth,1,1,1,1,1,1
9,administrator,groupaccess,1,1,1,1,1,1
10,administrator,groupmenuauth,1,1,1,1,1,1
11,administrator,groupmenu,1,1,1,1,1,1
12,administrator,translog,1,1,1,1,1,1
13,administrator,translock,1,1,1,1,1,1
14,administrator,snro,1,1,1,1,1,1
15,administrator,snrodet,1,1,1,1,1,1
16,administrator,workflow,1,1,1,1,1,1
17,administrator,wfgroup,1,1,1,1,1,1
18,administrator,wfstatus,1,1,1,1,1,1
19,administrator,parameter,1,1,1,1,1,1
20,administrator,language,1,1,1,1,1,1
21,administrator,catalogsys,1,1,1,1,1,1
22,administrator,currency,1,1,1,1,1,1
23,administrator,citizen,1,1,1,1,1,1
24,administrator,country,1,1,1,1,1,1
25,administrator,province,1,1,1,1,1,1
26,administrator,city,1,1,1,1,1,1
27,administrator,subdistrict,1,1,1,1,1,1
28,administrator,kelurahan,1,1,1,1,1,1
29,administrator,common,1,1,1,1,1,1
30,administrator,addresstype,1,1,1,1,1,1
31,administrator,contacttype,1,1,1,1,1,1
32,administrator,identitytype,1,1,1,1,1,1
33,administrator,romawi,1,1,1,1,1,1
34,administrator,industry,1,1,1,1,1,1
35,administrator,plant,1,1,1,1,1,1
36,administrator,addressbook,1,1,1,1,1,1
37,administrator,inventory,1,1,1,1,1,1
38,administrator,sloc,1,1,1,1,1,1
39,administrator,unitofmeasure,1,1,1,1,1,1
40,administrator,requestedby,1,1,1,1,1,1
41,administrator,deliveryadvice,1,1,1,1,1,1
42,administrator,purchasing,1,1,1,1,1,1
43,administrator,purchasingorg,1,1,1,1,1,1
44,administrator,purchasinggroup,1,1,1,1,1,1
45,administrator,materialmaster,1,1,1,1,1,1
46,administrator,materialtype,1,1,1,1,1,1
47,administrator,materialgroup,1,1,1,1,1,1
48,administrator,materialstatus,1,1,1,1,1,1
49,administrator,ownership,1,1,1,1,1,1
50,administrator,product,1,1,1,1,1,1
51,administrator,productbasic,1,1,1,1,1,1
52,administrator,productpurchase,1,1,1,1,1,1
53,administrator,productplant,1,1,1,1,1,1
54,administrator,hr,1,1,1,1,1,1
55,administrator,position,1,1,1,1,1,1
56,administrator,om,1,1,1,1,1,1
57,administrator,levelorg,1,1,1,1,1,1
58,administrator,jobs,1,1,1,1,1,1
59,administrator,orgstructure,1,1,1,1,1,1
60,administrator,mp,1,1,1,1,1,1
61,administrator,familyrelation,1,1,1,1,1,1
62,administrator,prs,1,1,1,1,1,1
63,administrator,occupation,1,1,1,1,1,1
64,administrator,sex,1,1,1,1,1,1
65,administrator,religion,1,1,1,1,1,1
66,administrator,education,1,1,1,1,1,1
67,administrator,educationmajor,1,1,1,1,1,1
68,administrator,maritalstatus,1,1,1,1,1,1
69,administrator,employeetype,1,1,1,1,1,1
70,administrator,hrtm,1,1,1,1,1,1
71,administrator,absstatus,1,1,1,1,1,1
72,administrator,languagevalue,1,1,1,1,1,1
73,administrator,hrsp,1,1,1,1,1,1
74,administrator,splettertype,1,1,1,1,1,1
75,administrator,absschedule,1,1,1,1,1,1
76,administrator,absrule,1,1,1,1,1,1
77,administrator,hrmtm,1,1,1,1,1,1
78,administrator,permitexit,1,1,1,1,1,1
79,administrator,permitin,1,1,1,1,1,1
80,administrator,hro,1,1,1,1,1,1
81,administrator,hrs,1,1,1,1,1,1
82,administrator,hospital,1,1,1,1,1,1
83,administrator,acc,1,1,1,1,1,1
84,administrator,accounttype,1,1,1,1,1,1
85,administrator,account,1,1,1,1,1,1
86,administrator,onleavetype,1,1,1,1,1,1
87,administrator,hrft,1,1,1,1,1,1
88,administrator,facilitytype,1,1,1,1,1,1
89,administrator,hrpy,1,1,1,1,1,1
90,administrator,benefittype,1,1,1,1,1,1
91,administrator,employeeschedule,1,1,1,1,1,1
92,administrator,employee,1,1,1,1,1,1
93,administrator,employeestatus,1,1,1,1,1,1
