kelurahanid,subdistrictname,kelurahanname,recordstatus
1,KUTA SELATAN,KUTA SELATAN,1
2,KUTA UTARA,KUTA UTARA,1
3,MENGWI,MENGWI,1
4,PETANG,PETANG,1
5,BANGLI,BANGLI,1
6,BANGLI,BANGLI,1
7,BANGLI,BANGLI,1
8,BANGLI,BANGLI,1
9,BANGLI,BANGLI,1
10,KINTAMANI,KINTAMANI,1
11,SUSUT,SUSUT,1
12,TEMBUKU,TEMBUKU,1
13,BANJAR,BANJAR,1
14,BANJAR,BANJAR,1
15,BANJAR,BANJAR,1
16,BANJAR,BANJAR,1
17,BANJAR,BANJAR,1
18,BULELENG,BULELENG,1
19,BUSUNGBIU,BUSUNGBIU,1
20,GEROKGAK,GEROKGAK,1
21,KUBUTAMBAHAN,KUBUTAMBAHAN,1
22,SAWAN,SAWAN,1
23,SERIRIT,SERIRIT,1
24,SUKASADA,SUKASADA,1
25,TEJAKULA,TEJAKULA,1
26,DENPASAR BARAT,DENPASAR BARAT,1
27,DENPASAR BARAT,DENPASAR BARAT,1
28,DENPASAR BARAT,DENPASAR BARAT,1
29,DENPASAR BARAT,DENPASAR BARAT,1
30,DENPASAR BARAT,DENPASAR BARAT,1
31,DENPASAR BARAT,DENPASAR BARAT,1
32,DENPASAR BARAT,DENPASAR BARAT,1
33,DENPASAR BARAT,DENPASAR BARAT,1
34,DENPASAR BARAT,DENPASAR BARAT,1
35,DENPASAR BARAT,DENPASAR BARAT,1
36,DENPASAR SELATAN,DENPASAR SELATAN,1
37,DENPASAR SELATAN,DENPASAR SELATAN,1
38,DENPASAR SELATAN,DENPASAR SELATAN,1
39,DENPASAR SELATAN,DENPASAR SELATAN,1
40,DENPASAR SELATAN,DENPASAR SELATAN,1
41,DENPASAR SELATAN,DENPASAR SELATAN,1
42,DENPASAR SELATAN,DENPASAR SELATAN,1
43,DENPASAR SELATAN,DENPASAR SELATAN,1
44,DENPASAR SELATAN,DENPASAR SELATAN,1
45,DENPASAR SELATAN,DENPASAR SELATAN,1
46,DENPASAR TIMUR,DENPASAR TIMUR,1
47,DENPASAR TIMUR,DENPASAR TIMUR,1
48,DENPASAR TIMUR,DENPASAR TIMUR,1
49,DENPASAR TIMUR,DENPASAR TIMUR,1
50,DENPASAR TIMUR,DENPASAR TIMUR,1
51,DENPASAR TIMUR,DENPASAR TIMUR,1
52,DENPASAR TIMUR,DENPASAR TIMUR,1
53,DENPASAR TIMUR,DENPASAR TIMUR,1
54,DENPASAR TIMUR,DENPASAR TIMUR,1
55,DENPASAR TIMUR,DENPASAR TIMUR,1
56,DENPASAR UTARA ,DENPASAR UTARA ,1
57,DENPASAR UTARA ,DENPASAR UTARA ,1
58,DENPASAR UTARA ,DENPASAR UTARA ,1
59,DENPASAR UTARA ,DENPASAR UTARA ,1
60,DENPASAR UTARA ,DENPASAR UTARA ,1
61,BLAHBATUH,BLAHBATUH,1
62,GIANYAR,GIANYAR,1
63,GIANYAR,GIANYAR,1
64,GIANYAR,GIANYAR,1
65,GIANYAR,GIANYAR,1
66,GIANYAR,GIANYAR,1
67,GIANYAR,GIANYAR,1
68,PAYANGAN,PAYANGAN,1
69,SUKAWATI,SUKAWATI,1
70,TAMPAK SIRING,TAMPAK SIRING,1
71,TAMPAK SIRING,TAMPAK SIRING,1
72,TEGALLALANG,TEGALLALANG,1
73,UBUD,UBUD,1
74,MELAYA,MELAYA,1
75,MENDOYO,MENDOYO,1
76,NEGARA,NEGARA,1
77,NEGARA,NEGARA,1
78,PEKUTATAN,PEKUTATAN,1
79,ABANG,ABANG,1
80,BEBANDEM,BEBANDEM,1
81,KARANG ASEM,KARANG ASEM,1
82,KUBU,KUBU,1
83,KUBU,KUBU,1
84,KUBU,KUBU,1
85,MANGGIS,MANGGIS,1
86,RENDANG,RENDANG,1
87,SELAT,SELAT,1
88,SELAT,SELAT,1
89,SIDEMEN,SIDEMEN,1
90,BANJARANGKAN,BANJARANGKAN,1
91,DAWAN,DAWAN,1
92,KLUNGKUNG,KLUNGKUNG,1
93,NUSAPENIDA,NUSAPENIDA,1
94,BATURITI,BATURITI,1
95,KEDIRI,KEDIRI,1
96,KEDIRI,KEDIRI,1
97,KEDIRI,KEDIRI,1
98,KEDIRI,KEDIRI,1
99,KERAMBITAN,KERAMBITAN,1
100,MARGA,MARGA,1
101,MARGA,MARGA,1
102,PENEBEL,PENEBEL,1
103,PENEBEL,PENEBEL,1
104,PUPUAN,PUPUAN,1
105,SELEMADEG,SELEMADEG,1
106,SELEMADEG,SELEMADEG,1
107,SELEMADEG,SELEMADEG,1
108,SELEMADEG,SELEMADEG,1
109,SELEMADEG,SELEMADEG,1
110,TABANAN,TABANAN,1
111,TABANAN,TABANAN,1
112,TABANAN,TABANAN,1
113,TABANAN,TABANAN,1
114,TABANAN,TABANAN,1
115,TABANAN,TABANAN,1
116,CIBEBER,CIBEBER,1
117,CIBEBER,CIBEBER,1
118,CIBEBER,CIBEBER,1
119,CIBEBER,CIBEBER,1
120,CILEGON,CILEGON,1
121,CITANGKIL,CITANGKIL,1
122,CIWANDAN,CIWANDAN,1
123,GROGOL,GROGOL,1
124,GROGOL,GROGOL,1
125,GROGOL,GROGOL,1
126,GROGOL,GROGOL,1
127,GROGOL,GROGOL,1
128,GROGOL,GROGOL,1
129,GROGOL,GROGOL,1
130,JOMBANG,JOMBANG,1
131,JOMBANG,JOMBANG,1
132,JOMBANG,JOMBANG,1
133,JOMBANG,JOMBANG,1
