subdistrictid,cityname,subdistrictname,zipcode,recordstatus
1,BADUNG,KUTA SELATAN,,1
2,BADUNG,KUTA UTARA,80361,1
3,BADUNG,MENGWI,80351,1
4,BADUNG,PETANG,80353,1
5,BADUNG,PETANG,80351,1
6,BANGLI,BANGLI,80651,1
7,BANGLI,BANGLI,80614,1
8,BANGLI,BANGLI,80612,1
9,BANGLI,BANGLI,80613,1
10,BANGLI,BANGLI,80611,1
11,BANGLI,KINTAMANI,80652,1
12,BANGLI,SUSUT,80661,1
13,BANGLI,TEMBUKU,80671,1
14,BULELENG,BANJAR,00000,1
15,BULELENG,BULELENG,00000,1
16,BULELENG,BUSUNGBIU,00000,1
17,BULELENG,GEROKGAK,00000,1
18,BULELENG,KUBUTAMBAHAN,00000,1
19,BULELENG,SAWAN,00000,1
20,BULELENG,SERIRIT,00000,1
21,BULELENG,SUKASADA,00000,1
22,BULELENG,TEJAKULA,00000,1
23,DENPASAR,DENPASAR BARAT,80113,1
24,DENPASAR,DENPASAR BARAT,80111,1
25,DENPASAR,DENPASAR BARAT,80112,1
26,DENPASAR,DENPASAR BARAT,80114,1
27,DENPASAR,DENPASAR BARAT,80110,1
28,DENPASAR,DENPASAR BARAT,80117,1
29,DENPASAR,DENPASAR BARAT,80115,1
30,DENPASAR,DENPASAR BARAT,80119,1
31,DENPASAR,DENPASAR BARAT,80118,1
32,DENPASAR,DENPASAR BARAT,80116,1
33,DENPASAR,DENPASAR SELATAN,80220,1
34,DENPASAR,DENPASAR SELATAN,80225,1
35,DENPASAR,DENPASAR SELATAN,80222,1
36,DENPASAR,DENPASAR SELATAN,80221,1
37,DENPASAR,DENPASAR SELATAN,80226,1
38,DENPASAR,DENPASAR SELATAN,80228,1
39,DENPASAR,DENPASAR SELATAN,80227,1
40,DENPASAR,DENPASAR SELATAN,80229,1
41,DENPASAR,DENPASAR SELATAN,80223,1
42,DENPASAR,DENPASAR SELATAN,80224,1
43,DENPASAR,DENPASAR TIMUR,80232,1
44,DENPASAR,DENPASAR TIMUR,80231,1
45,DENPASAR,DENPASAR TIMUR,80233,1
46,DENPASAR,DENPASAR TIMUR,80234,1
47,DENPASAR,DENPASAR TIMUR,80230,1
48,DENPASAR,DENPASAR TIMUR,80237,1
49,DENPASAR,DENPASAR TIMUR,80238,1
50,DENPASAR,DENPASAR TIMUR,80235,1
51,DENPASAR,DENPASAR TIMUR,80236,1
52,DENPASAR,DENPASAR TIMUR,80239,1
53,DENPASAR,DENPASAR UTARA ,0    ,1
54,DENPASAR,DENPASAR UTARA ,80111,1
55,DENPASAR,DENPASAR UTARA ,80115,1
56,DENPASAR,DENPASAR UTARA ,80118,1
57,DENPASAR,DENPASAR UTARA ,80116,1
58,GIANYAR,BLAHBATUH,80581,1
59,GIANYAR,GIANYAR,80515,1
60,GIANYAR,GIANYAR,80551,1
61,GIANYAR,GIANYAR,80513,1
62,GIANYAR,GIANYAR,80514,1
63,GIANYAR,GIANYAR,80511,1
64,GIANYAR,GIANYAR,80512,1
65,GIANYAR,PAYANGAN,80572,1
66,GIANYAR,SUKAWATI,80582,1
67,GIANYAR,TAMPAK SIRING,80552,1
68,GIANYAR,TAMPAK SIRING,80522,1
69,GIANYAR,TEGALLALANG,80561,1
70,GIANYAR,UBUD,80571,1
71,JEMBRANA,MELAYA,00000,1
72,JEMBRANA,MENDOYO,00000,1
73,JEMBRANA,NEGARA,00000,1
74,JEMBRANA,NEGARA,82251,1
75,JEMBRANA,PEKUTATAN,00000,1
76,KARANG ASEM,ABANG,00000,1
77,KARANG ASEM,BEBANDEM,00000,1
78,KARANG ASEM,KARANG ASEM,00000,1
79,KARANG ASEM,KUBU,00000,1
80,KARANG ASEM,MANGGIS,00000,1
81,KARANG ASEM,RENDANG,00000,1
82,KARANG ASEM,SELAT,00000,1
83,KARANG ASEM,SIDEMEN,00000,1
84,SEMARAPURA,BANJARANGKAN,80752,1
85,SEMARAPURA,DAWAN,80761,1
86,SEMARAPURA,KLUNGKUNG,80751,1
87,SEMARAPURA,NUSAPENIDA,80771,1
88,TABANAN,BATURITI,82191,1
89,TABANAN,KEDIRI,82122,1
90,TABANAN,KEDIRI,82123,1
91,TABANAN,KEDIRI,82121,1
92,TABANAN,KERAMBITAN,82161,1
93,TABANAN,MARGA,82191,1
94,TABANAN,MARGA,82181,1
95,TABANAN,PENEBEL,82152,1
96,TABANAN,PENEBEL,82163,1
97,TABANAN,PUPUAN,82163,1
98,TABANAN,SELEMADEG,82162,1
99,TABANAN,SELEMADEG,82161,1
100,TABANAN,SELEMADEG,82171,1
101,TABANAN,SELEMADEG,82163,1
102,TABANAN,SELEMADEG,82168,1
103,TABANAN,TABANAN,82112,1
104,TABANAN,TABANAN,82151,1
105,TABANAN,TABANAN,82114,1
106,TABANAN,TABANAN,82111,1
107,TABANAN,TABANAN,82113,1
108,TABANAN,TABANAN,82115,1
109,CILEGON,CIBEBER,00000,1
110,CILEGON,CILEGON,00000,1
111,CILEGON,CITANGKIL,00000,1
112,CILEGON,CIWANDAN,00000,1
113,CILEGON,GROGOL,00000,1
114,CILEGON,JOMBANG,00000,1
115,CILEGON,PULOMERAK,00000,1
116,CILEGON,PURWAKARTA,00000,1
117,KABUPATEN TANGERANG,BALARAJA,00000,1
118,KABUPATEN TANGERANG,CIKUPA,00000,1
119,KABUPATEN TANGERANG,CIKUPA,15710,1
120,KABUPATEN TANGERANG,CIPUTAT,15411,1
121,KABUPATEN TANGERANG,CIPUTAT,00000,1
122,KABUPATEN TANGERANG,CIPUTAT,15414,1
123,KABUPATEN TANGERANG,CIPUTAT TIMUR,15412,1
124,KABUPATEN TANGERANG,CIPUTAT TIMUR,15413,1
125,KABUPATEN TANGERANG,CIPUTAT TIMUR,15419,1
126,KABUPATEN TANGERANG,CIPUTAT TIMUR,00000,1
127,KABUPATEN TANGERANG,CISAUK,00000,1
128,KABUPATEN TANGERANG,CISOKA,00000,1
129,KABUPATEN TANGERANG,CISOKA,15750,1
130,KABUPATEN TANGERANG,CISOKA,15710,1
131,KABUPATEN TANGERANG,CURUG,00000,1
132,KABUPATEN TANGERANG,GUNUNG KALER,00000,1
133,KABUPATEN TANGERANG,JAMBE,00000,1
134,KABUPATEN TANGERANG,JAYANTI,00000,1
135,KABUPATEN TANGERANG,KELAPA DUA,00000,1
136,KABUPATEN TANGERANG,KEMIRI,00000,1
137,KABUPATEN TANGERANG,KOSAMBI,00000,1
138,KABUPATEN TANGERANG,KOSAMBI,15211,1
139,KABUPATEN TANGERANG,KOSAMBI,15214,1
140,KABUPATEN TANGERANG,KRESEK,00000,1
