"wfgroupid","wfname","groupname","wfbefstat","wfrecstat"
1,"insjournal","Administrator",1,1
2,"appjournal","Administrator",1,2
3,"listjournal","Administrator",1,1
4,"insinvap","Administrator",1,1
5,"appinvap","Administrator",1,2
6,"listinvap","Administrator",1,1
7,"insinvar","Administrator",1,1
8,"appinvar","Administrator",1,2
9,"listinvar","Administrator",1,1
10,"inscashbankin","Administrator",1,1
11,"appcashbankin","Administrator",1,2
12,"listcashbankin","Administrator",1,1
13,"inscashbankout","Administrator",1,1
14,"appcashbankout","Administrator",1,2
15,"listcashbankout","Administrator",1,1
16,"insda","Administrator",1,1
17,"appda","Administrator",1,2
18,"listda","Administrator",1,1
22,"listda","Administrator",2,2
19,"inspr","Administrator",1,1
20,"apppr","Administrator",1,2
21,"listpr","Administrator",1,1
26,"listpr","Administrator",2,2
23,"inspo","Administrator",1,1
24,"apppo","Administrator",1,2
25,"listpo","Administrator",1,1
27,"listpo","Administrator",2,2
28,"insgr","Administrator",1,1
29,"appgr","Administrator",1,2
30,"listgr","Administrator",1,1
31,"insgi","Administrator",1,1
32,"appgi","Administrator",1,2
33,"listgi","Administrator",1,1
34,"insso","Administrator",1,1
35,"appso","Administrator",1,2
36,"listso","Administrator",1,1
